2025-04-02 19:50:41,917 - EPOCH ::: 1
2025-04-02 19:57:06,756 - Loss_pi: 3.770179555966304, Loss_v: 0.10027277899476197
2025-04-02 19:57:11,164 - Loss_pi: 3.7530474309568054, Loss_v: 0.10075649895049908
2025-04-02 19:57:15,552 - Loss_pi: 3.7411127601351057, Loss_v: 0.10049739799329213
2025-04-02 19:57:19,902 - Loss_pi: 3.757077430856639, Loss_v: 0.10123169267999715
2025-04-02 19:57:24,290 - Loss_pi: 3.76123522122701, Loss_v: 0.10074409693479539
2025-04-02 19:57:28,646 - Loss_pi: 3.772651964618314, Loss_v: 0.10040801739500414
2025-04-02 19:57:33,069 - Loss_pi: 3.7678632587194443, Loss_v: 0.09842462709639221
2025-04-02 19:57:37,483 - Loss_pi: 3.7769264741377397, Loss_v: 0.09655962884426117
2025-04-02 19:57:41,904 - Loss_pi: 3.7889531079460594, Loss_v: 0.09610124984208275
2025-04-02 19:57:46,362 - Loss_pi: 3.7903576578412737, Loss_v: 0.09664316560540881
2025-04-02 19:57:50,792 - Loss_pi: 3.7851363817850747, Loss_v: 0.095228284286956
2025-04-02 19:57:55,238 - Loss_pi: 3.796032286979057, Loss_v: 0.09642050807943216
2025-04-02 19:57:59,677 - Loss_pi: 3.787564905066239, Loss_v: 0.09429999494827107
2025-04-02 19:58:04,098 - Loss_pi: 3.7823616419083033, Loss_v: 0.09589884845683208
2025-04-02 19:58:08,460 - Loss_pi: 3.7740589022636413, Loss_v: 0.09819155274890363
2025-04-02 19:58:12,777 - Loss_pi: 3.767986867485977, Loss_v: 0.09847383378300725
2025-04-02 19:58:17,101 - Loss_pi: 3.764796716826303, Loss_v: 0.09838499177602075
2025-04-02 19:58:21,514 - Loss_pi: 3.7651226354199787, Loss_v: 0.09755936572544796
2025-04-02 19:58:25,855 - Loss_pi: 3.7727245309136133, Loss_v: 0.09821786557916891
2025-04-02 19:58:30,241 - Loss_pi: 3.7739557796054415, Loss_v: 0.09946955007811388
2025-04-02 19:58:34,609 - Loss_pi: 3.7752343468044116, Loss_v: 0.099324073602
2025-04-02 19:58:39,049 - Loss_pi: 3.7770923401447054, Loss_v: 0.09951583054313
2025-04-02 19:58:43,442 - Loss_pi: 3.7850400656461716, Loss_v: 0.09947282366920263
2025-04-02 19:58:47,828 - Loss_pi: 3.783709141672874, Loss_v: 0.09875305145218664
2025-04-02 19:58:52,226 - Loss_pi: 3.7864100456237795, Loss_v: 0.10024802263826132
2025-04-02 19:58:56,670 - Loss_pi: 3.7907824890286315, Loss_v: 0.10164538548127108
2025-04-02 19:59:01,077 - Loss_pi: 3.7977644938689012, Loss_v: 0.1008984659655163
2025-04-02 19:59:05,417 - Loss_pi: 3.798523246117358, Loss_v: 0.09988905429699511
2025-04-02 19:59:09,810 - Loss_pi: 3.7960776223076715, Loss_v: 0.0992116155102849
2025-04-02 19:59:14,214 - Loss_pi: 3.8005081350153143, Loss_v: 0.09886809868568724
2025-04-02 19:59:18,590 - Loss_pi: 3.7967718754495894, Loss_v: 0.0979348700160959
2025-04-02 19:59:22,961 - Loss_pi: 3.7944467987930564, Loss_v: 0.09787166076140445
2025-04-02 19:59:27,381 - Loss_pi: 3.7894791981269575, Loss_v: 0.09862465241217408
2025-04-02 19:59:31,766 - Loss_pi: 3.7862723439426746, Loss_v: 0.09907211675861125
2025-04-02 19:59:36,224 - Loss_pi: 3.7871331055959065, Loss_v: 0.0987464533187449
2025-04-02 19:59:40,674 - Loss_pi: 3.7821408490665624, Loss_v: 0.09865878971263034
2025-04-02 19:59:44,695 - EPOCH ::: 3
2025-04-02 19:59:46,173 - Loss_pi: 3.9461355209350586, Loss_v: 0.06265781074762344
2025-04-02 19:59:50,667 - Loss_pi: 3.8100506067276, Loss_v: 0.03911724407225847
2025-04-02 19:59:55,108 - Loss_pi: 3.8589119911193848, Loss_v: 0.03126206062734127
2025-04-02 19:59:59,550 - Loss_pi: 3.7957592010498047, Loss_v: 0.0431222845800221
2025-04-02 20:00:04,024 - Loss_pi: 3.77583532333374, Loss_v: 0.053261565044522285
2025-04-02 20:00:08,442 - Loss_pi: 3.7241005500157676, Loss_v: 0.06510349145780008
2025-04-02 20:00:12,834 - Loss_pi: 3.7303833620888844, Loss_v: 0.06473873262958867
2025-04-02 20:00:17,209 - Loss_pi: 3.7015145123004913, Loss_v: 0.06634803512133658
2025-04-02 20:00:21,567 - Loss_pi: 3.6866800255245633, Loss_v: 0.07452929868466324
2025-04-02 20:00:25,978 - Loss_pi: 3.678324341773987, Loss_v: 0.07500747311860323
2025-04-02 20:00:30,398 - Loss_pi: 3.719529867172241, Loss_v: 0.07246086052195592
2025-04-02 20:00:34,804 - Loss_pi: 3.741554081439972, Loss_v: 0.07297050689036648
2025-04-02 20:00:39,224 - Loss_pi: 3.7344403817103458, Loss_v: 0.06854219326319602
2025-04-02 20:00:43,591 - Loss_pi: 3.7262935638427734, Loss_v: 0.06928071000480227
2025-04-02 20:00:47,980 - Loss_pi: 3.7571093241373696, Loss_v: 0.07406428897132476
2025-04-02 20:00:52,483 - Loss_pi: 3.7576363384723663, Loss_v: 0.07723846047883853
2025-04-02 20:00:56,887 - Loss_pi: 3.7564597410314224, Loss_v: 0.07819201704114676
2025-04-02 20:01:01,277 - Loss_pi: 3.7487573756111994, Loss_v: 0.07731502291022076
2025-04-02 20:01:05,658 - Loss_pi: 3.7540085817638196, Loss_v: 0.07821799613731473
2025-04-02 20:01:10,055 - Loss_pi: 3.755277633666992, Loss_v: 0.07821879046969116
2025-04-02 20:01:14,480 - Loss_pi: 3.747659206390381, Loss_v: 0.07897522473441702
2025-04-02 20:01:18,875 - Loss_pi: 3.7560329654000024, Loss_v: 0.07890563691034913
2025-04-02 20:01:23,239 - Loss_pi: 3.7462124202562417, Loss_v: 0.0768424053473965
2025-04-02 20:01:27,623 - Loss_pi: 3.726718306541443, Loss_v: 0.07621661756032456
2025-04-02 20:01:32,006 - Loss_pi: 3.728340606689453, Loss_v: 0.0776116817817092
2025-04-02 20:01:36,423 - Loss_pi: 3.736919824893658, Loss_v: 0.07819571399774689
2025-04-02 20:01:40,842 - Loss_pi: 3.7380366590287952, Loss_v: 0.07761883980560082
2025-04-02 20:01:45,261 - Loss_pi: 3.7356805375644138, Loss_v: 0.07652361075659948
2025-04-02 20:01:49,699 - Loss_pi: 3.7317030100986877, Loss_v: 0.07501041988745846
2025-04-02 20:01:54,097 - Loss_pi: 3.7343605438868206, Loss_v: 0.07818661527708173
2025-04-02 20:01:58,503 - Loss_pi: 3.726358805933306, Loss_v: 0.07869991609045575
2025-04-02 20:02:02,930 - Loss_pi: 3.7249472439289093, Loss_v: 0.07819055285654031
2025-04-02 20:02:07,295 - Loss_pi: 3.7164814110958213, Loss_v: 0.07910091438415376
2025-04-02 20:02:11,645 - Loss_pi: 3.7145068224738624, Loss_v: 0.07904268458814305
2025-04-02 20:02:15,968 - Loss_pi: 3.7184556688581196, Loss_v: 0.08077639008739165
2025-04-02 20:02:20,330 - Loss_pi: 3.721670216984219, Loss_v: 0.0829667143471953
2025-04-02 20:02:24,703 - Loss_pi: 3.7168201626958073, Loss_v: 0.08281328174210079
2025-04-02 20:02:29,062 - Loss_pi: 3.7181738175843893, Loss_v: 0.08426538646515262
2025-04-02 20:02:33,439 - Loss_pi: 3.724400349152394, Loss_v: 0.08493927491303438
2025-04-02 20:02:37,849 - Loss_pi: 3.7285788357257843, Loss_v: 0.08480077001731842
2025-04-02 20:02:42,265 - Loss_pi: 3.7249767198795225, Loss_v: 0.08541151197490895
2025-04-02 20:02:46,666 - Loss_pi: 3.719484970683143, Loss_v: 0.0856113367093106
2025-04-02 20:02:51,097 - Loss_pi: 3.7194139624750893, Loss_v: 0.08687185346647057
2025-04-02 20:02:55,493 - Loss_pi: 3.719831168651581, Loss_v: 0.08667406496930528
2025-04-02 20:02:59,895 - Loss_pi: 3.7127931118011475, Loss_v: 0.0857849357649684
2025-04-02 20:03:04,259 - Loss_pi: 3.7080062213151352, Loss_v: 0.08631379187673978
2025-04-02 20:03:08,632 - Loss_pi: 3.706021060334875, Loss_v: 0.08680427960179588
2025-04-02 20:03:13,004 - Loss_pi: 3.7044928123553595, Loss_v: 0.08629319318182145
2025-04-02 20:03:17,437 - Loss_pi: 3.6977238217178656, Loss_v: 0.08772082746561084
2025-04-02 20:03:21,820 - Loss_pi: 3.7017592859268187, Loss_v: 0.0871988076530397
2025-04-02 20:03:26,230 - Loss_pi: 3.7021359742856492, Loss_v: 0.08701519060003407
2025-04-02 20:03:30,668 - Loss_pi: 3.701276265657865, Loss_v: 0.08773564882218264
2025-04-02 20:03:35,094 - Loss_pi: 3.703897332245449, Loss_v: 0.08937399389819717
2025-04-02 20:03:39,521 - Loss_pi: 3.7018114460839167, Loss_v: 0.08889117428205079
2025-04-02 20:03:43,900 - Loss_pi: 3.6962168216705322, Loss_v: 0.08865616353736683
2025-04-02 20:03:48,332 - Loss_pi: 3.692943279232298, Loss_v: 0.0901130475602778
2025-04-02 20:03:52,762 - Loss_pi: 3.691134942205329, Loss_v: 0.09077183776453399
2025-04-02 20:03:57,171 - Loss_pi: 3.687893641406092, Loss_v: 0.09059054961684963
2025-04-02 20:04:01,622 - Loss_pi: 3.6888375726796814, Loss_v: 0.08957483264286134
